duplicate_group_id,duplicate_type,class_name,file_path,hash,perceptual_hash,perceptual_distance,paired_file_path,paired_class_name
EXACT-0001,exact,Blended,Blended/107/im_2 (copy).png,32dbee6e80f81929645227d321587b0a8121d4352d2234c28278f5b8f5f5e70e,0499663d1b64f34d,,,
EXACT-0001,exact,Blended,Blended/107/im_2.png,32dbee6e80f81929645227d321587b0a8121d4352d2234c28278f5b8f5f5e70e,0499663d1b64f34d,,,
EXACT-0002,exact,Blended,Blended/1369/im_1.png,ec1ee6f118ebde03f0492ff0e4f4626e260a0f4fd9ee55c01f3d58016a6ef155,10953a063c397bbe,,,
EXACT-0002,exact,Blended,Blended/1370/im_1.png,ec1ee6f118ebde03f0492ff0e4f4626e260a0f4fd9ee55c01f3d58016a6ef155,10953a063c397bbe,,,
EXACT-0003,exact,Blended,Blended/1369/im_2.png,568f23f5eb69efde8b4a47698aae17390ec04d12712981acb5ce8641dde067cc,00913e2f3a3f34ba,,,
EXACT-0003,exact,Blended,Blended/1370/im_2.png,568f23f5eb69efde8b4a47698aae17390ec04d12712981acb5ce8641dde067cc,00913e2f3a3f34ba,,,
EXACT-0004,exact,Blended,Blended/1369/im_3.png,e34f91c43b3f8282e1826a110f0b00a5c50dfab0de67d812290083eccf251c3d,4c5a3d2a3a36a8bc,,,
EXACT-0004,exact,Blended,Blended/1370/im_3.png,e34f91c43b3f8282e1826a110f0b00a5c50dfab0de67d812290083eccf251c3d,4c5a3d2a3a36a8bc,,,
EXACT-0005,exact,Blended,Blended/1369/im_4.png,72b0431007453a92779993e81f070e82069a694df45dae81b829ff2de3de0308,02557aa63c39a8ee,,,
EXACT-0005,exact,Blended,Blended/1370/im_4.png,72b0431007453a92779993e81f070e82069a694df45dae81b829ff2de3de0308,02557aa63c39a8ee,,,
EXACT-0006,exact,Blended,Blended/1602/im_1.png,974838d9bfb097437ae6ba3751343648857dab449872374b70aab79ef431b42e,28bfae1442dd7425,,,
EXACT-0006,exact,Blended,Blended/1603/im_1.png,974838d9bfb097437ae6ba3751343648857dab449872374b70aab79ef431b42e,28bfae1442dd7425,,,
EXACT-0007,exact,Blended,Blended/1602/im_2.png,b033985d2afc418224fe609e56f446ce0f172a6ffafaf73c17485385ddbc0db4,1199d984e2f9f238,,,
EXACT-0007,exact,Blended,Blended/1603/im_2.png,b033985d2afc418224fe609e56f446ce0f172a6ffafaf73c17485385ddbc0db4,1199d984e2f9f238,,,
EXACT-0008,exact,Blended,Blended/1602/im_3.png,b11d45fa12e02f86373ba86b9f66e35ec1e65aa5224edebd5c9d8bd87b98d787,444b32333c7c63d9,,,
EXACT-0008,exact,Blended,Blended/1603/im_3.png,b11d45fa12e02f86373ba86b9f66e35ec1e65aa5224edebd5c9d8bd87b98d787,444b32333c7c63d9,,,
EXACT-0009,exact,Blended,Blended/1602/im_4.png,e82567ee2d4e9cd60301a46233bf7467d519b1569c9e6a54e0250d46ff3796c7,01586e175c5e5753,,,
EXACT-0009,exact,Blended,Blended/1603/im_4.png,e82567ee2d4e9cd60301a46233bf7467d519b1569c9e6a54e0250d46ff3796c7,01586e175c5e5753,,,
EXACT-0010,exact,Blended,Blended/1787/im_1.png,0c872d3f7f61a02fc962ce49474d57df008edea4a881e96f9800bf2720bc5069,1890168f61a7973f,,,
EXACT-0010,exact,Blended,Blended/1788/im_1.png,0c872d3f7f61a02fc962ce49474d57df008edea4a881e96f9800bf2720bc5069,1890168f61a7973f,,,
EXACT-0011,exact,Blended,Blended/1787/im_2.png,741fea13c177728dea102e8e69c559956fc81f95db999373f121a81578d230f6,18d0568ee7e6b226,,,
EXACT-0011,exact,Blended,Blended/1788/im_2.png,741fea13c177728dea102e8e69c559956fc81f95db999373f121a81578d230f6,18d0568ee7e6b226,,,
EXACT-0012,exact,Blended,Blended/1787/im_3.png,ae881805d7104396fd9efd2e30439310c0e2012a3ceae7c1429a891ef3b06542,5c59148e67e2b266,,,
EXACT-0012,exact,Blended,Blended/1788/im_3.png,ae881805d7104396fd9efd2e30439310c0e2012a3ceae7c1429a891ef3b06542,5c59148e67e2b266,,,
EXACT-0013,exact,Blended,Blended/1787/im_4.png,e32060b8ec69026538a32298ca7c63c0e17724f3e47464ce5ad43c4fd4463e1c,1859d64f69e0172e,,,
EXACT-0013,exact,Blended,Blended/1788/im_4.png,e32060b8ec69026538a32298ca7c63c0e17724f3e47464ce5ad43c4fd4463e1c,1859d64f69e0172e,,,
EXACT-0014,exact,Blended,Blended/989/im_1.png,731e2f27d2de619f1493cb9459924cdb2698d5c6d37b9ddd3621d179a10b9506,21b53e584dc60b5b,,,
EXACT-0014,exact,Blended,Blended/990/im_1.png,731e2f27d2de619f1493cb9459924cdb2698d5c6d37b9ddd3621d179a10b9506,21b53e584dc60b5b,,,
EXACT-0014,exact,Blended,Blended/991/im_1.png,731e2f27d2de619f1493cb9459924cdb2698d5c6d37b9ddd3621d179a10b9506,21b53e584dc60b5b,,,
