image_path,source_dataset,original_label,final_label,split,duplicate_group,near_duplicate_group,included,exclusion_reason,sample_or_garment_id,derived_path,split_path
Backend/datasets/ibug_fabrics/Artificial_fur/540/im_1.png,ibug_fabrics (derived: ibug_material_v2),Artificial_fur,Polyester,train,,,True,,ibug:Artificial_fur/540,Backend/data/processed/ibug_material_v2/Polyester/sample-Artificial_fur-540-im_1.png,Backend/data/splits/ibug_material_v2/train/Polyester/sample-Artificial_fur-540-im_1.png
Backend/datasets/ibug_fabrics/Artificial_fur/540/im_2.png,ibug_fabrics (derived: ibug_material_v2),Artificial_fur,Polyester,train,,,True,,ibug:Artificial_fur/540,Backend/data/processed/ibug_material_v2/Polyester/sample-Artificial_fur-540-im_2.png,Backend/data/splits/ibug_material_v2/train/Polyester/sample-Artificial_fur-540-im_2.png
Backend/datasets/ibug_fabrics/Artificial_fur/540/im_3.png,ibug_fabrics (derived: ibug_material_v2),Artificial_fur,Polyester,train,,,True,,ibug:Artificial_fur/540,Backend/data/processed/ibug_material_v2/Polyester/sample-Artificial_fur-540-im_3.png,Backend/data/splits/ibug_material_v2/train/Polyester/sample-Artificial_fur-540-im_3.png
Backend/datasets/ibug_fabrics/Artificial_fur/540/im_4.png,ibug_fabrics (derived: ibug_material_v2),Artificial_fur,Polyester,train,,,True,,ibug:Artificial_fur/540,Backend/data/processed/ibug_material_v2/Polyester/sample-Artificial_fur-540-im_4.png,Backend/data/splits/ibug_material_v2/train/Polyester/sample-Artificial_fur-540-im_4.png
Backend/datasets/ibug_fabrics/Blended/1537/im_1.png,ibug_fabrics (derived: ibug_material_v2),Blended,Cotton,train,,,True,,ibug:Blended/1537,Backend/data/processed/ibug_material_v2/Cotton/sample-Blended-1537-im_1.png,Backend/data/splits/ibug_material_v2/train/Cotton/sample-Blended-1537-im_1.png
Backend/datasets/ibug_fabrics/Blended/1537/im_2.png,ibug_fabrics (derived: ibug_material_v2),Blended,Cotton,train,,,True,,ibug:Blended/1537,Backend/data/processed/ibug_material_v2/Cotton/sample-Blended-1537-im_2.png,Backend/data/splits/ibug_material_v2/train/Cotton/sample-Blended-1537-im_2.png
Backend/datasets/ibug_fabrics/Blended/1537/im_3.png,ibug_fabrics (derived: ibug_material_v2),Blended,Cotton,train,,,True,,ibug:Blended/1537,Backend/data/processed/ibug_material_v2/Cotton/sample-Blended-1537-im_3.png,Backend/data/splits/ibug_material_v2/train/Cotton/sample-Blended-1537-im_3.png
Backend/datasets/ibug_fabrics/Blended/1537/im_4.png,ibug_fabrics (derived: ibug_material_v2),Blended,Cotton,train,,,True,,ibug:Blended/1537,Backend/data/processed/ibug_material_v2/Cotton/sample-Blended-1537-im_4.png,Backend/data/splits/ibug_material_v2/train/Cotton/sample-Blended-1537-im_4.png
Backend/datasets/ibug_fabrics/Blended/1578/im_1.png,ibug_fabrics (derived: ibug_material_v2),Blended,Polyester,train,,,True,,ibug:Blended/1578,Backend/data/processed/ibug_material_v2/Polyester/sample-Blended-1578-im_1.png,Backend/data/splits/ibug_material_v2/train/Polyester/sample-Blended-1578-im_1.png
Backend/datasets/ibug_fabrics/Blended/1578/im_2.png,ibug_fabrics (derived: ibug_material_v2),Blended,Polyester,train,,,True,,ibug:Blended/1578,Backend/data/processed/ibug_material_v2/Polyester/sample-Blended-1578-im_2.png,Backend/data/splits/ibug_material_v2/train/Polyester/sample-Blended-1578-im_2.png
Backend/datasets/ibug_fabrics/Blended/1578/im_3.png,ibug_fabrics (derived: ibug_material_v2),Blended,Polyester,train,,,True,,ibug:Blended/1578,Backend/data/processed/ibug_material_v2/Polyester/sample-Blended-1578-im_3.png,Backend/data/splits/ibug_material_v2/train/Polyester/sample-Blended-1578-im_3.png
